record_id,sequence_id,target_name_normalized,target_role,activity_label_binary,activity_label_multiclass,evidence_weight,kd_nM,pkd,assay_type,confidence_tier,evidence_tier,family_id,source_group_id
ctr_0002,src_chergui2021::CHERGUI_GlyP_1,alanine,counter_target,0,specificity_negative,0.78,,,fluorimetry,medium,silver,,10.26686/wgtn.17148626
ctr_0004,src_chergui2021::CHERGUI_GlyP_2,alanine,counter_target,,cross_reactivity_warning,0.78,,,fluorimetry,medium,silver,,10.26686/wgtn.17148626
ctr_0006,src_chergui2021::CHERGUI_GlyP_6,alanine,counter_target,,cross_reactivity_warning,0.78,,,fluorimetry,medium,silver,,10.26686/wgtn.17148626
ctr_0007,src_kr101338520b1::KR101_G15,ampa,counter_target,,counter_target_uncertain,0.58,,,AuNP_colorimetric,medium,bronze,kr101_seqgrp_004,KR101338520B1
ctr_0009,src_kr20180054018a::KR201_Gly1,ampa,counter_target,1,counter_target_positive,0.92,1.79e+07,1.747147,SPR,medium,gold,kr201_seqgrp_001,KR20180054018A
ctr_0011,src_kr20180054018a::KR201_Gly2,ampa,counter_target,1,counter_target_positive,0.92,4000,5.39794,SPR,medium,gold,kr201_seqgrp_002,KR20180054018A
ctr_0013,src_kr20180054018a::KR201_Gly3,ampa,counter_target,1,counter_target_positive,0.92,193000,3.714443,SPR,medium,gold,kr201_seqgrp_003,KR20180054018A
ctr_0015,src_kr20180054018a::KR201_Gly4,ampa,counter_target,1,counter_target_positive,0.92,1540,5.812479,SPR,medium,gold,kr201_seqgrp_004,KR20180054018A
ctr_0017,src_kr20180054018a::KR201_Gly5,ampa,counter_target,1,counter_target_positive,0.92,63200,4.199283,SPR,medium,gold,kr201_seqgrp_005,KR20180054018A
ctr_0019,src_kr20180054018a::KR201_Gly6,ampa,counter_target,1,counter_target_positive,0.92,31700,4.498941,SPR,medium,gold,kr201_seqgrp_006,KR20180054018A
ctr_0021,src_kr20180054018a::KR201_Gly7,ampa,counter_target,1,counter_target_positive,0.92,22700,4.643974,SPR,medium,gold,kr201_seqgrp_007,KR20180054018A
ctr_0023,src_kr20180054018a::KR201_Gly8,ampa,counter_target,1,counter_target_positive,0.92,138000,3.860121,SPR,medium,gold,kr201_seqgrp_008,KR20180054018A
ctr_0008,src_kr101338520b1::KR101_G15,glufosinate,counter_target,,counter_target_uncertain,0.58,,,AuNP_colorimetric,medium,bronze,kr101_seqgrp_004,KR101338520B1
ctr_0001,src_chergui2021::CHERGUI_GlyP_1,glycine,counter_target,0,specificity_negative,0.78,,,fluorimetry,medium,silver,,10.26686/wgtn.17148626
ctr_0003,src_chergui2021::CHERGUI_GlyP_2,glycine,counter_target,,cross_reactivity_warning,0.78,,,fluorimetry,medium,silver,,10.26686/wgtn.17148626
ctr_0005,src_chergui2021::CHERGUI_GlyP_6,glycine,counter_target,,cross_reactivity_warning,0.78,,,fluorimetry,medium,silver,,10.26686/wgtn.17148626
ctr_0010,src_kr20180054018a::KR201_Gly1,glycine,counter_target,1,counter_target_positive,0.92,138000,3.860121,SPR,medium,gold,kr201_seqgrp_001,KR20180054018A
ctr_0012,src_kr20180054018a::KR201_Gly2,glycine,counter_target,1,counter_target_positive,0.92,145000,3.838632,SPR,medium,gold,kr201_seqgrp_002,KR20180054018A
ctr_0014,src_kr20180054018a::KR201_Gly3,glycine,counter_target,1,counter_target_positive,0.92,11500,4.939302,SPR,medium,gold,kr201_seqgrp_003,KR20180054018A
ctr_0016,src_kr20180054018a::KR201_Gly4,glycine,counter_target,1,counter_target_positive,0.92,134000,3.872895,SPR,medium,gold,kr201_seqgrp_004,KR20180054018A
ctr_0018,src_kr20180054018a::KR201_Gly5,glycine,counter_target,1,counter_target_positive,0.92,114000,3.943095,SPR,medium,gold,kr201_seqgrp_005,KR20180054018A
